OS,TIPO,TIPO EQUIPAMENTO,EQUIPAMENTO,MARCA,HORARIO INICIO,HORARIO FIM,TIPO DE SERVIÇO,COMPLEMENTO,RESOLUÇÃO,TEMPO
1852257,CORRETIVA,APARELHO DE RAIOS-X - MOVEL,POLYMOBIL PLUS,SIEMENS HEALTHCARE,2024-01-29 16:31:00,2024-01-31 16:00:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,AJUSTE MECÂNICO,47.48
1851564,CORRETIVA,MONITOR - MULTIPARAMETROS,IMEC10,MINDRAY,2024-01-31 10:30:00,2024-03-05 12:00:00,02 NAO FUNCIONA,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),817.5
1851666,CORRETIVA,TOMOGRAFO COMPUTADORIZADO,AQUILION 128 TSX101A,CANON,2024-01-31 09:20:00,2024-02-03 00:39:00,05 APRESENTA CODIGO/MENSAGEM DE ERRO,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),63.32
1851764,CORRETIVA,LAPAROSCOPIO,30° 4MM X 30CM,KARL STORZ,2024-01-29 09:08:00,2024-03-08 13:00:00,02 NAO FUNCIONA,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),939.87
1851791,CORRETIVA,FOTOTERAPIA - SUPERLED,5006 BILITRON SKY,FANEM,2024-01-29 09:04:00,2024-01-29 10:30:00,01 NAO LIGA,CAUSA NATURAL,REPOSIÇÃO DE ACESSÓRIO DANIFICADO,1.43
1852156,CORRETIVA,DETECTOR FETAL,FD 390,TOITU,2024-01-29 12:21:00,2024-01-29 16:00:00,23 APRESENTA ARTEFATO OU INTERFERENCIA,CAUSA NATURAL,REVISÃO / REPARO EM ACESSÓRIO(S),3.65
1851678,CORRETIVA,SECADORA - TRAQUEIA,STI 350,DAISSER,2024-01-29 08:26:00,2024-03-12 18:00:00,02 NAO FUNCIONA,CAUSA NATURAL,ACOMPANHAMENTO DE SERVICO EXTERNO,1041.57
1851848,CORRETIVA,BOMBA INFUSORA,INFUSOMAT COMPACT PLUS,B BRAUN,2024-01-29 10:12:00,2024-03-19 17:00:00,*ACESSORIO DANIFICADO,CAUSA NATURAL,SUBSTITUIÇÃO DE PLACA(S),1206.8
1851775,CORRETIVA,CENTRIFUGA,Q222TM1,QUIMIS,2024-01-29 09:15:00,2024-03-20 08:06:00,02 NAO FUNCIONA,CAUSA NATURAL,ATUALIZAÇÃO DE DADOS NO SISTEMA,1222.85
1851870,CORRETIVA,CAMA - ELETRICA,BASIC CARE P1440A,HILL ROM,2024-01-29 09:59:00,2024-03-18 11:00:00,*ACESSORIO DANIFICADO,CAUSA NATURAL,ACOMPANHAMENTO DE SERVICO EXTERNO,1177.02
1853067,CORRETIVA,LAPAROSCOPIO,30° 4MM X 29CM,KARL STORZ,2024-01-29 08:00:00,2024-05-14 09:40:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,DEVOLUÇÃO DE EQUIPAMENTO/ACESSÓRIO FUNCIONAL AO SETOR,2545.67
1851593,CORRETIVA,TERMOSELADORA MICROPROCESSADA,RSV10,CISA,2024-01-27 07:29:00,2024-02-21 09:00:00,02 NAO FUNCIONA,CAUSA NATURAL,AJUSTE ELETRÔNICO,601.52
1851908,CORRETIVA,VENTILADOR PULMONAR,SV300,MINDRAY,2024-01-29 10:54:00,2024-04-02 16:20:00,05 APRESENTA CODIGO/MENSAGEM DE ERRO,CAUSA NATURAL,REPOSIÇÃO DE ACESSÓRIO DANIFICADO,1541.43
1851651,CORRETIVA,ASPIRADOR - CIRURGICO,TWISTA SP 1070,GETINGE,2024-01-29 08:10:00,2024-03-28 16:40:00,02 NAO FUNCIONA,CAUSA NATURAL,ABERTURA DE CHAMADO TÉCNICO/CONTATO COM EMPRESA EXTERNA,1424.5
1852551,CORRETIVA,COMPRESSOR - MEMBROS INFERIORES,SCD 700,COVIDIEN - KENDALL,2024-01-30 07:45:00,2024-02-02 09:00:00,02 NAO FUNCIONA,CAUSA NATURAL,REVISÃO / REPARO EM CONEXÕES,73.25
1852734,CORRETIVA,MONITOR - CONSCIENCIA OU ANALGESIA,VISTA A2000,COVIDIEN - BIS,2024-01-30 09:40:00,2024-02-20 11:00:00,02 NAO FUNCIONA,CAUSA NATURAL,ABERTURA DE CHAMADO TÉCNICO/CONTATO COM EMPRESA EXTERNA,505.33
1852841,CORRETIVA,MONITOR - CONSCIENCIA OU ANALGESIA,VISTA A2000,COVIDIEN - BIS,2024-01-30 11:30:00,2024-02-20 12:00:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,AJUSTE ELETRÔNICO,504.5
1852595,CORRETIVA,BALANCA - ANTROPOMETRICA,W 300,WELMY,2024-01-30 08:00:00,2024-01-30 12:00:00,02 NAO FUNCIONA,CAUSA NATURAL,ABERTURA DE OS DE INATIVACAO,4.0
1863706,CORRETIVA,ANALISADOR BIOQUIMICO,VITROS 250,ORTHO CLINICAL DIAGNOSTICS,2024-01-31 14:44:00,2024-01-31 17:44:00,02 NAO FUNCIONA,CAUSA NATURAL,ACOMPANHAMENTO DE SERVICO EXTERNO,3.0
1853946,CORRETIVA,UMIDIFICADOR,GT5000,GLOBAL TEC,2024-01-31 13:59:00,2024-04-16 08:00:00,02 NAO FUNCIONA,CAUSA NATURAL,DEVOLUÇÃO DE EQUIPAMENTO/ACESSÓRIO FUNCIONAL AO SETOR,1818.02
1853452,CORRETIVA,BOMBA INFUSORA - NUTRICAO,KANGAROO EPUMP,COVIDIEN - KENDALL,2024-01-31 08:29:00,2024-02-09 12:00:00,05 APRESENTA CODIGO/MENSAGEM DE ERRO,CAUSA NATURAL,ATUALIZAÇÃO DE DADOS NO SISTEMA,219.52
1853863,CORRETIVA,APARELHO DE RAIOS-X - FIXO,XR 6000,GE HEALTHCARE,2024-02-07 08:52:00,2024-02-07 11:40:00,*ACESSORIO DANIFICADO,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),2.8
1853916,CORRETIVA,BOMBA INFUSORA - SERINGA,PERFUSOR SPACE,B BRAUN,2024-01-31 13:29:00,2024-01-31 14:00:00,02 NAO FUNCIONA,ERRO DE PROCEDIMENTO,AVALIAÇÃO TÉCNICA,0.52
1853397,CORRETIVA,MESA CIRURGICA - ELETRICA,DIAMOND 60BLK,SCHMITZ,2024-01-31 07:24:00,2024-01-31 08:00:00,*ACESSORIO DANIFICADO,CAUSA NATURAL,REVISÃO / REPARO EM ACESSÓRIO(S),0.6
1853786,CORRETIVA,LAPAROSCOPIO,0° 3MM X 14CM,KARL STORZ,2024-01-31 11:26:00,2024-02-26 14:00:00,23 APRESENTA ARTEFATO OU INTERFERENCIA,MAU USO,ABERTURA DE CHAMADO TÉCNICO/CONTATO COM EMPRESA EXTERNA,626.57
1853273,PREVENTIVA,MEDIDOR - SINAIS VITAIS,SPOT VITAL SIGNS LXI,WELCH ALLYN,2024-01-31 01:08:00,2024-03-19 16:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1166.87
1853283,PREVENTIVA,MONITOR - MULTIPARAMETROS,DASH 4000,GE HEALTHCARE,2024-01-31 01:08:00,2024-01-31 15:09:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,14.02
1853284,PREVENTIVA,MONITOR - MULTIPARAMETROS,DASH 5000,GE HEALTHCARE,2024-01-31 01:08:00,2024-01-31 15:12:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,14.07
1852782,CORRETIVA,BALANCA - ELETRONICA/MESA,BP 6,FILIZOLA,2024-01-30 10:41:00,2024-01-30 10:55:00,01 NAO LIGA,INFRAESTRUTURA,AVALIAÇÃO TÉCNICA,0.23
1852600,CORRETIVA,AUTOCLAVE - HORIZONTAL,6412,CISA,2024-01-30 08:35:00,2024-01-30 10:30:00,13 TESTE FUNCIONAL,CAUSA NATURAL,AVALIAÇÃO TÉCNICA,1.92
1862739,CORRETIVA,COMPRESSOR - COLCHAO DE AR,J001,MEDLEVENSOHN,2024-01-30 11:32:00,2024-04-29 15:10:00,02 NAO FUNCIONA,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),2163.63
1853381,CORRETIVA,MESA CIRURGICA - ELETRICA,BF683 TDP,BARRFAB,2024-01-30 17:00:00,2024-01-30 18:00:00,02 NAO FUNCIONA,CAUSA NATURAL,AJUSTE ELETRÔNICO,1.0
1852540,CORRETIVA,ELETROCARDIOGRAFO,MAC 2000,GE HEALTHCARE,2024-01-30 07:21:00,2024-01-30 07:30:00,23 APRESENTA ARTEFATO OU INTERFERENCIA,CAUSA NATURAL,LIMPEZA,0.15
1853090,CORRETIVA,CARDIOVERSOR,R SERIES,ZOLL,2024-01-30 15:39:00,2024-01-30 16:11:00,13 TESTE FUNCIONAL,CAUSA NATURAL,AVALIAÇÃO TÉCNICA,0.53
1853134,CORRETIVA,ELETROCARDIOGRAFO,PAGEWRITER TC10,PHILIPS MEDICAL,2024-01-30 16:20:00,2024-01-30 16:30:00,13 TESTE FUNCIONAL,CAUSA NATURAL,TESTE FUNCIONAL,0.17
1853096,CORRETIVA,INCUBADORA,VISION 2286,FANEM,2024-01-30 15:51:00,2024-01-30 17:30:00,02 NAO FUNCIONA,CAUSA NATURAL,AJUSTE MECÂNICO,1.65
1853135,CORRETIVA,MONITOR - TRANSPORTE,DX2021,DIXTAL BIOMEDICA,2024-01-30 16:24:00,2024-01-30 16:44:00,13 TESTE FUNCIONAL,CAUSA NATURAL,AVALIAÇÃO TÉCNICA,0.33
1852806,CORRETIVA,ASPIRADOR - TORACICO,THOPAZ PLUS,MEDELA,2024-01-30 11:02:00,2024-02-27 08:00:00,19 FALTA DE PECA OU ACESSORIO,EXTRAVIO,RECEBIMENTO DE MATERIAIS/PECAS,668.97
1853160,CORRETIVA,ANGIOGRAFO,ARTIS ZEE FLOOR,SIEMENS HEALTHCARE,2024-01-30 17:34:00,2024-01-31 14:50:00,*ACESSORIO DANIFICADO,CAUSA NATURAL,REVISÃO / REPARO EM CONEXÕES,21.27
1873269,GERENCIAL,CAMA - ELETRICA,CARE ASSIST,HILL ROM,2024-01-30 10:00:00,2024-03-01 12:30:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,ACOMPANHAMENTO DE SERVICO EXTERNO,746.5
1853188,CORRETIVA,AUTOCLAVE - HORIZONTAL,6412,CISA,2024-01-30 00:30:00,2024-01-30 05:00:00,02 NAO FUNCIONA,CAUSA NATURAL,ACOMPANHAMENTO DE SERVICO EXTERNO,4.5
1852870,CORRETIVA,MONITOR - MULTIPARAMETROS,DX2023,DIXTAL BIOMEDICA,2024-01-30 11:56:00,2024-01-30 12:10:00,02 NAO FUNCIONA,CAUSA NATURAL,REVISÃO / REPARO EM PLACA(S),0.23
1853425,CORRETIVA,CAMA - ELETRICA,HR900,HILL ROM,2024-01-30 08:04:00,2024-01-30 08:20:00,02 NAO FUNCIONA,CAUSA NATURAL,CONFIGURAÇÃO/REINICIALIZAÇÃO,0.27
1853396,CORRETIVA,BOMBA INFUSORA - SERINGA,PERFUSOR SPACE,B BRAUN,2024-01-31 07:24:00,2024-02-06 14:44:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),151.33
1853878,CORRETIVA,MEDIDOR - SINAIS VITAIS,VS2,PHILIPS MEDICAL,2024-01-31 12:21:00,2024-01-31 14:00:00,19 FALTA DE PECA OU ACESSORIO,CAUSA NATURAL,INSTALAÇÃO / ENTREGA DE ACESSÓRIO ADICIONAL,1.65
1853635,CORRETIVA,BERCO - ELETRICO,VLT 220E,VALLITECH,2024-01-31 10:40:00,2024-03-15 17:00:00,*ACESSORIO DANIFICADO,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),1062.33
1853754,CORRETIVA,CAMA - ELETRICA,CENTURIS P750,HILL ROM,2024-01-31 10:59:00,2024-01-31 17:00:00,02 NAO FUNCIONA,CAUSA NATURAL,AJUSTE ELETRÔNICO,6.02
1853862,CORRETIVA,BISTURI - ELETRICO,SS 501,WEM,2024-01-31 12:25:00,2024-01-31 13:30:00,*ACESSORIO DANIFICADO,CAUSA NATURAL,REPOSIÇÃO DE ACESSÓRIO DANIFICADO,1.08
1853866,CORRETIVA,CAMA - ELETRICA,HR405 P1440B,HILL ROM,2024-01-31 12:35:00,2024-01-31 13:03:00,02 NAO FUNCIONA,CAUSA NATURAL,AVALIAÇÃO TÉCNICA,0.47
1853913,CORRETIVA,BISTURI - ELETRICO,FORCE FX,COVIDIEN - VALLEYLAB,2024-01-31 13:25:00,2024-01-31 13:30:00,*ACESSORIO DANIFICADO,CAUSA NATURAL,REVISÃO / REPARO EM ACESSÓRIO(S),0.08
1851840,CORRETIVA,CARDIOTOCOGRAFO,DIAMOND,KOLPLAST,2024-01-29 09:50:00,2024-01-29 11:00:00,02 NAO FUNCIONA,CAUSA NATURAL,TESTE FUNCIONAL,1.17
1852309,CORRETIVA,MODULO - CAPNOGRAFIA,E SCOVX,GE HEALTHCARE,2024-01-29 17:22:00,2024-06-10 13:47:00,02 NAO FUNCIONA,CAUSA NATURAL,REVISÃO / REPARO EM CONEXÕES,3188.42
1851909,CORRETIVA,VENTILADOR PULMONAR,CARESCAPE R860,GE HEALTHCARE,2024-01-29 10:54:00,2024-08-31 15:55:00,19 FALTA DE PECA OU ACESSORIO,CAUSA NATURAL,REPOSIÇÃO DE ACESSÓRIO PERDIDO,5165.02
1853385,CORRETIVA,MESA CIRURGICA - ELETRICA,BF683 TDV,BARRFAB,2024-01-31 07:07:00,2024-02-08 09:10:00,02 NAO FUNCIONA,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),194.05
1853981,CORRETIVA,COLPOSCOPIO,CP M2500,DF VASCONCELOS,2024-01-31 14:30:00,2024-02-01 09:50:00,03 EQUIPAMENTO DANIFICADO,MAU USO,REVISÃO / REPARO EM PEÇAS,19.33
1853558,CORRETIVA,INCUBADORA,1186,FANEM,2024-01-31 09:57:00,2024-01-31 12:30:00,22 NAO RECONHECE CONFIGURACAO,CAUSA NATURAL,TESTE FUNCIONAL,2.55
1853976,CORRETIVA,MONITOR - MULTIPARAMETROS,BSM 3763,NIHON KOHDEN,2024-01-31 14:26:00,2024-01-31 16:00:00,02 NAO FUNCIONA,CAUSA NATURAL,TESTE FUNCIONAL,1.57
1853549,CORRETIVA,ESTETOSCOPIO,ADULTO,GENERICO,2024-01-31 09:49:00,2024-01-31 11:10:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,REVISÃO / REPARO EM PEÇAS,1.35
1853462,CORRETIVA,ESFIGMOMANOMETRO - ANALOGICO PAREDE/PEDESTAL,BIG BEN,RIESTER,2024-01-31 08:39:00,2024-01-31 13:10:00,02 NAO FUNCIONA,CAUSA NATURAL,TESTE FUNCIONAL,4.52
1853041,CORRETIVA,TOMOGRAFO COMPUTADORIZADO,LIGHT SPEED ULTRA 8,GE HEALTHCARE,2024-01-30 12:04:00,2024-01-30 14:00:00,05 APRESENTA CODIGO/MENSAGEM DE ERRO,CAUSA NATURAL,AVALIAÇÃO TÉCNICA,1.93
1852829,CORRETIVA,OXIMETRO DE PULSO,7500,NONIN,2024-01-30 11:18:00,2024-01-30 16:00:00,02 NAO FUNCIONA,CAUSA NATURAL,LIMPEZA,4.7
1852831,CORRETIVA,MONITOR - MULTIPARAMETROS,STAR8000F,COMEN,2024-01-30 11:19:00,2024-01-30 17:00:00,02 NAO FUNCIONA,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),5.68
1853126,CORRETIVA,APARELHO DE RAIOS-X - FIXO,ALTUS ST543 HF,KONICA MINOLTA,2024-02-01 13:00:00,2024-02-01 14:50:00,02 NAO FUNCIONA,CAUSA NATURAL,ACOMPANHAMENTO DE SERVICO EXTERNO,1.83
1852810,CORRETIVA,LAPAROSCOPIO,70° 4MM X 18CM,KARL STORZ,2024-01-30 11:05:00,2024-03-08 13:00:00,03 EQUIPAMENTO DANIFICADO,MAU USO,SUBSTITUIÇÃO DE PECA(S),913.92
1853814,CORRETIVA,ASPIRADOR - CIRURGICO,BASIC 30,MEDELA,2024-01-31 11:50:00,2024-03-05 16:34:00,03 EQUIPAMENTO DANIFICADO,ATIVIDADE PROGRAMADA,RECEBIMENTO DE EQUIPAMENTO(S),820.73
1854142,CORRETIVA,CAMA - ELETRICA,IB 565 EL,IDEAL BEQUEM,2024-01-31 17:32:00,2024-01-31 17:42:00,02 NAO FUNCIONA,CAUSA NATURAL,REPOSIÇÃO DE ACESSÓRIO DANIFICADO,0.17
1854189,CORRETIVA,TERMODESINFECTADORA,K155,CISA,2024-01-31 19:17:00,2024-01-31 21:03:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,AJUSTE HIDRÁULICO,1.77
1853817,CORRETIVA,MONITOR - MULTIPARAMETROS,INFINITY KAPPA,DRAGER HEALTHCARE,2024-01-31 12:00:00,2024-01-31 19:00:00,05 APRESENTA CODIGO/MENSAGEM DE ERRO,CAUSA NATURAL,LIMPEZA,7.0
1859594,CORRETIVA,CAMA - ELETRICA,CENTURIS P750,HILL ROM,2024-02-01 12:54:00,2024-02-05 12:30:00,02 NAO FUNCIONA,CAUSA NATURAL,REVISÃO / REPARO EM PEÇAS,95.6
1854153,CORRETIVA,LITOTRITOR,LITHOMAX,INNOVA TECHNIK,2024-01-31 17:43:00,2024-01-31 18:35:00,02 NAO FUNCIONA,CAUSA NATURAL,AVALIAÇÃO TÉCNICA,0.87
1853417,CORRETIVA,INSUFLADOR - TESTE DE ENDOSCOPIO,MU1,OLYMPUS,2024-01-31 07:51:00,2024-01-31 09:00:00,02 NAO FUNCIONA,CAUSA NATURAL,AVALIAÇÃO TÉCNICA,1.15
1854031,CORRETIVA,INCUBADORA,DUETTO 2386,FANEM,2024-01-31 15:48:00,2024-01-31 20:30:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,TESTE FUNCIONAL,4.7
1852633,CORRETIVA,APARELHO DE RAIOS-X - MOVEL,OPTIMA XR220 AMX,GE HEALTHCARE,2024-03-11 08:00:00,2024-03-11 12:00:00,*ACESSORIO DANIFICADO,CAUSA NATURAL,REPOSIÇÃO DE ACESSÓRIO DANIFICADO,4.0
1853157,CORRETIVA,ARCO CIRURGICO,OEC 9900 ELITE,GE HEALTHCARE,2024-01-30 17:00:00,2024-02-20 13:00:00,02 NAO FUNCIONA,ATIVIDADE PROGRAMADA,ABERTURA DE CHAMADO TÉCNICO/CONTATO COM EMPRESA EXTERNA,500.0
1852587,CORRETIVA,MESA CIRURGICA - ELETRICA,BETASTAR 1131,GETINGE,2024-01-30 09:00:00,2024-03-14 10:30:00,02 NAO FUNCIONA,CAUSA NATURAL,DEVOLUÇÃO DE EQUIPAMENTO/ACESSÓRIO FUNCIONAL AO SETOR,1057.5
1852553,CORRETIVA,FONTE DE LUZ - XENON,XENON 300 20133120,KARL STORZ,2024-01-30 07:48:00,2024-03-04 19:30:00,05 APRESENTA CODIGO/MENSAGEM DE ERRO,CAUSA NATURAL,ATUALIZAÇÃO DE DADOS NO SISTEMA,827.7
1853956,CORRETIVA,PROCESSADOR RADIOLOGICO - CR,DIRECTVIEW CR ELITE,CARESTREAM,2024-01-31 14:07:00,2024-01-31 14:15:00,*ACESSORIO DANIFICADO,CAUSA NATURAL,REVISÃO / REPARO EM ACESSÓRIO(S),0.13
1853999,CORRETIVA,MONITOR - MULTIPARAMETROS,B125,GE HEALTHCARE,2024-01-31 11:06:00,2024-03-06 10:00:00,05 APRESENTA CODIGO/MENSAGEM DE ERRO,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),838.9
1852938,CORRETIVA,URETEROSCOPIO,27001L,KARL STORZ,2024-01-30 11:35:00,2024-05-10 10:00:00,02 NAO FUNCIONA,CAUSA NATURAL,REVISÃO / REPARO EM CONEXÕES,2422.42
1853599,CORRETIVA,MESA CIRURGICA - ELETRICA,BF683,BARRFAB,2024-01-31 10:22:00,2024-03-12 16:15:00,02 NAO FUNCIONA,CAUSA NATURAL,ATUALIZAÇÃO DE DADOS NO SISTEMA,989.88
1863336,CORRETIVA,APARELHO DE RAIOS-X - MOVEL,POLYMOBIL PLUS,SIEMENS HEALTHCARE,2024-02-01 13:16:00,2024-02-05 13:16:00,02 NAO FUNCIONA,CAUSA NATURAL,AVALIAÇÃO TÉCNICA,96.0
1862991,CORRETIVA,CARDIOVERSOR,EFFICIA DFM100,PHILIPS MEDICAL,2024-02-02 11:00:00,2024-02-02 12:00:00,05 APRESENTA CODIGO/MENSAGEM DE ERRO,CAUSA NATURAL,TESTE FUNCIONAL,1.0
1859619,CORRETIVA,WORKSTATION,CA1000,GE HEALTHCARE,2024-01-30 10:00:00,2024-03-01 10:00:00,02 NAO FUNCIONA,CAUSA NATURAL,REVISÃO / REPARO EM PEÇAS,744.0
1852891,CORRETIVA,CENTRIFUGA,Q222TM1,QUIMIS,2024-05-20 08:17:00,2024-05-20 08:17:00,03 EQUIPAMENTO DANIFICADO,INFRAESTRUTURA,RECEBIMENTO DE EQUIPAMENTO(S),0.0
1852569,CORRETIVA,CAMA - ELETRICA,MI570 RT,MERCEDES IMEC,2024-01-30 08:10:00,2024-06-04 15:00:00,02 NAO FUNCIONA,CAUSA NATURAL,REFORMA E PINTURA,3030.83
1853120,CORRETIVA,MESA CIRURGICA - ELETRICA,ALPHASTAR 1132,GETINGE,2024-01-30 16:10:00,2024-06-22 10:00:00,02 NAO FUNCIONA,CAUSA NATURAL,AVALIAÇÃO TÉCNICA,3449.83
1860777,CORRETIVA,INSUFLADOR - CO2,PNEUMOSURE XL,STRYKER,2024-01-30 07:00:00,2024-07-15 15:00:00,02 NAO FUNCIONA,CAUSA NATURAL,INATIVACAO DE EQUIPAMENTO,4016.0
1862746,CORRETIVA,FOCO CIRURGICO TETO - HALOGENO,BLUE 80 80 DECKE,HERAEUS,2024-02-01 10:00:00,2024-02-01 11:00:00,21 LAMPADA RUIM/QUEIMADA,CAUSA NATURAL,SUBSTITUIÇÃO DE PECA(S),1.0
1859571,CORRETIVA,AUTOCLAVE - HORIZONTAL,6412,CISA,2024-02-01 10:00:00,2024-02-01 15:00:00,02 NAO FUNCIONA,CAUSA NATURAL,AVALIAÇÃO TÉCNICA,5.0
1853392,CORRETIVA,MONITOR - CONSCIENCIA OU ANALGESIA,VISTA A2000,COVIDIEN - BIS,2024-01-31 07:20:00,2024-05-24 13:11:00,19 FALTA DE PECA OU ACESSORIO,MAU USO,ATUALIZAÇÃO DE DADOS NO SISTEMA,2741.85
1853483,CORRETIVA,CABO DE FIBRA OTICA,GENERICO,GENERICO,2024-01-31 08:56:00,2024-02-20 16:00:00,03 EQUIPAMENTO DANIFICADO,MAU USO,ACOMPANHAMENTO DE SERVICO EXTERNO,487.07
1862106,INSPECAO/VERIFICACAO,AUTOCLAVE - HORIZONTAL,AC 365,ORTOSINTESE,2024-02-02 08:00:00,2024-02-02 17:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,ROTINA DE INSPEÇÃO,9.0
1866831,PREVENTIVA,CARDIOVERSOR,TEC 5631,NIHON KOHDEN,2024-02-08 09:00:00,2024-02-08 10:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,1.0
1859604,CORRETIVA,APARELHO DE RAIOS-X - MOVEL,DRX RISE,CARESTREAM,2024-02-01 13:11:00,2024-02-02 15:30:00,02 NAO FUNCIONA,CAUSA NATURAL,TESTE FUNCIONAL,26.32
1854691,PREVENTIVA,MACA - TRANSPORTE,DURASTAR P8005,HILL ROM,2024-02-08 15:36:00,2024-02-08 16:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,0.4
1854677,PREVENTIVA,MACA - TRANSPORTE,TRANSTAR P8005,HILL ROM,2024-02-08 13:30:00,2024-02-08 13:30:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,0.0
1853853,CORRETIVA,CAMA - PARTO,LD304,STRYKER,2024-01-31 12:20:00,2024-08-23 07:10:00,02 NAO FUNCIONA,CAUSA NATURAL,ABERTURA DE CHAMADO TÉCNICO/CONTATO COM EMPRESA EXTERNA,4914.83
1872340,CORRETIVA,CAMA - ELETRICA,P1900,HILL ROM,2024-02-01 08:00:00,2024-04-10 12:42:00,03 EQUIPAMENTO DANIFICADO,CAUSA NATURAL,ACOMPANHAMENTO DE SERVICO EXTERNO,1660.7
1866813,CALIBRACAO,CARDIOVERSOR,TEC 5631,NIHON KOHDEN,2024-02-08 09:00:00,2024-02-08 10:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1.0
1866816,SEG. ELETRICA,CARDIOVERSOR,TEC 5631,NIHON KOHDEN,2024-02-08 10:00:00,2024-02-08 11:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE TESTE DE SEGURANÇA ELÉTRICA,1.0
1859592,PREVENTIVA,OXIMETRO DE PULSO,RADICAL 7,MASIMO,2024-02-01 08:00:00,2024-02-01 12:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,4.0
1854317,CALIBRACAO,BOMBA INFUSORA,INFUSOMAT SPACE,B BRAUN,2024-04-03 17:30:00,2024-04-19 08:45:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,TRANSPORTE / EMPRÉSTIMO DE EQUIPAMENTO(S),375.25
1854658,PREVENTIVA,ANGIOGRAFO,AZURION 3,PHILIPS MEDICAL,2024-02-15 08:00:00,2024-02-15 16:30:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,8.5
1866925,PREVENTIVA,ELETROCARDIOGRAFO,ELI250C,MORTARA,2024-02-01 08:00:00,2024-02-08 08:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,168.0
1862818,CORRETIVA,PROCESSADORA DE VIDEO - ENDOSCOPICA,CV170,OLYMPUS,2024-02-01 10:00:00,2024-02-01 12:00:00,02 NAO FUNCIONA,CAUSA NATURAL,AJUSTE ELETRÔNICO,2.0
1854650,CALIBRACAO,CARDIOVERSOR,BENEHEART D3,MINDRAY,2024-02-07 11:00:00,2024-02-07 12:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,1.0
1854632,CALIBRACAO,CARDIOVERSOR,CARDIOMAX 8,INSTRAMED,2024-02-12 08:30:00,2024-02-12 12:00:00,*SERVICO PROGRAMADO,ATIVIDADE PROGRAMADA,REALIZAÇÃO DE CALIBRAÇÃO,3.5
1854680,PREVENTIVA,MACA - TRANSPORTE,TRANSTAR P8005,HILL ROM,2024-02-09 14:30:00,2024-02-09 15:00:00,*SERVICO PROGRAMADO,CAUSA NATURAL,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,0.5
1854693,PREVENTIVA,MACA - TRANSPORTE,DURASTAR P8005,HILL ROM,2024-02-09 09:00:00,2024-02-09 17:00:00,*SERVICO PROGRAMADO,CAUSA NATURAL,REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA,8.0
